,Sentence,Parser Outputs
22,"akesi pona kin, tu mi kin li moku e moku.","s(dec(subj_p((noun(akesi),(adjective(pona),adjective(kin)),card(numeral(tu)),pronoun(mi),adjective(kin))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
23,"akesi pona, tu kin li moku e moku.","s(dec(subj_p((noun(akesi),adjective(pona),card(numeral(tu)),adjective(kin))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
24,akesi pona tu li moku e moku.,"s(dec(subj_p((noun(akesi),adjective(pona),card(numeral(tu)))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
25,"akesi pona, tu mi kin li moku e moku.","s(dec(subj_p((noun(akesi),adjective(pona),card(numeral(tu)),pronoun(mi),adjective(kin))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
26,akesi pona tu mi li moku e moku.,"s(dec(subj_p((noun(akesi),adjective(pona),card(numeral(tu)),pronoun(mi))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
27,akesi suli ike li moku e moku.,"s(dec(subj_p((noun(akesi),adjective(suli),adjective(ike))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
28,akesi suli ike mi li moku e moku.,"s(dec(subj_p((noun(akesi),(adjective(suli),adjective(ike)),pronoun(mi))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
29,akesi suli jelo ike li moku e moku.,"s(dec(subj_p((noun(akesi),adjective(suli),adjective(jelo),adjective(ike))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
30,akesi suli jelo mi li moku e moku.,"s(dec(subj_p((noun(akesi),(adjective(suli),adjective(jelo)),pronoun(mi))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
31,"akesi suli jelo mi, tu wan li moku e moku.","s(dec(subj_p((noun(akesi),(adjective(suli),adjective(jelo)),pronoun(mi),card((numeral(tu),numeral(wan))))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
32,"akesi suli jelo, tu wan mi kin li moku e moku.","s(dec(subj_p((noun(akesi),(adjective(suli),adjective(jelo)),card((numeral(tu),numeral(wan))),pronoun(mi),adjective(kin))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
33,"akesi suli jelo, tu wan mi li moku e moku.","s(dec(subj_p((noun(akesi),(adjective(suli),adjective(jelo)),card((numeral(tu),numeral(wan))),pronoun(mi))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
34,"akesi suli jelo, tu wan mi ni li moku e moku.","s(dec(subj_p((noun(akesi),(adjective(suli),adjective(jelo)),card((numeral(tu),numeral(wan))),pronoun(mi),pronoun(ni))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
36,akesi suli li moku e moku.,"s(dec(subj_p((noun(akesi),adjective(suli))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
38,akesi suli mi kin li moku e moku.,"s(dec(subj_p((noun(akesi),adjective(suli),pronoun(mi),adjective(kin))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
39,akesi suli mi li moku e moku.,"s(dec(subj_p((noun(akesi),adjective(suli),pronoun(mi))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
46,ale li jo e tenpo.,"s(dec(subj_p(noun(ale)),pred_p(verb_t(jo),obj_d(noun(tenpo)))))"
47,ale li jo e tenpo ona.,"s(dec(subj_p(noun(ale)),pred_p(verb_t(jo),obj_d((noun(tenpo),pronoun(ona))))))"
60,anu mi moku e moku!,"s(conj(anu),exc(subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d(noun(moku)))))"
61,anu mi moku e moku.,"s(conj(anu),dec(subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d(noun(moku)))))"
62,anu mi moku e moku a!,"s(conj(anu),exc(subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d(noun(moku)))),interjection(a))"
63,anu mi moku e moku a.,"s(conj(anu),exc(subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d(noun(moku)))),interjection(a))"
64,"anu mi wile e ni: jan li ken pana e sona pi ma tomo ni, tawa mi.","s(conj(anu),dec(subj_p(pronoun(mi)),pred_p(verb_t(wile),obj_d(pronoun(ni))),subj_p(noun(jan)),pred_p((verb_p(ken),verb_t(pana)),obj_d((noun(sona),noun(ma),adjective(tomo),pronoun(ni))),obj_p(preposition(tawa),pronoun(mi)))))"
65,en moku,"headline(conj(en),obj_i(noun(moku)))"
66,en moku a,"headline(conj(en),obj_i(noun(moku)),interjection(a))"
68,en o moku e moku!,"s(conj(en),imp(com(subj_p(interjection(o)),pred_p(verb_t(moku),obj_d(noun(moku))))))"
69,en o moku e telo a.,"s(conj(en),imp(com(subj_p(interjection(o)),pred_p(verb_t(moku),obj_d(noun(telo))))),interjection(a))"
70,en seme?,"s(conj(en),int(pardon(pronoun_interrogative(seme))))"
71,en seme a?,"s(conj(en),int(pardon(pronoun_interrogative(seme))),interjection(a))"
72,en sina o a,"headline(conj(en),obj_i(pronoun(sina)),(interjection(o),interjection(a)))"
73,en sina pona ala pona e tawa?,"s(conj(en),int(yes_no(subj_p(pronoun(sina)),pred_p(verb_t(pona),adverb(ala),verb_t(pona),obj_d(noun(tawa))))))"
77,ijo jelo seme li pakala e ona?,"s(int(which_subject(subj_p((noun(ijo),adjective(jelo),pronoun_interrogative(seme))),pred_p(verb_t(pakala),obj_d(pronoun(ona))))))"
78,ijo Lapalapala,"headline(obj_i((noun(ijo),unofficial_thing(unknown(Lapalapala)))))"
81,ijo li lukin e mi.,"s(dec(subj_p(noun(ijo)),pred_p(verb_t(lukin),obj_d(pronoun(mi)))))"
82,ijo li moku e mi.,"s(dec(subj_p(noun(ijo)),pred_p(verb_t(moku),obj_d(pronoun(mi)))))"
83,ijo li pali e ijo.,"s(dec(subj_p(noun(ijo)),pred_p(verb_t(pali),obj_d(noun(ijo)))))"
88,ijo MIRC,"headline(obj_i((noun(ijo),unofficial_thing(known_thing(MIRC)))))"
91,ijo sin ni li kasi pi nanpa wan!,"s(exc(subj_p((noun(ijo),adjective(sin),pronoun(ni))),pred_p(verb_i(be),(noun(kasi),noun(nanpa),card(numeral(wan))))))"
96,ijo wan li wawa e ijo tu la ijo tu li wawa e ijo wan.,"s(dec(cond_p(subj_p((noun(ijo),card(numeral(wan)))),pred_p(verb_t(wawa),obj_d((noun(ijo),card(numeral(tu)))))),subj_p((noun(ijo),card(numeral(tu)))),pred_p(verb_t(wawa),obj_d((noun(ijo),card(numeral(wan)))))))"
101,ilo Alikali,"headline(obj_i((noun(ilo),unofficial_thing(unknown(Alikali)))))"
104,ilo li lon poki.,"s(dec(subj_p(noun(ilo)),pred_p(verb_i(lon),obj_i(noun(poki)))))"
105,ilo moku li lili ala lili?,"s(int(yes_no(subj_p((noun(ilo),adjective(moku))),pred_p(verb_t(lili),adverb(ala),verb_t(lili)))))"
107,ilo moku li toki wawa ala e jan pali pi ilo moku!,"s(exc(subj_p((noun(ilo),adjective(moku))),pred_p((verb_t(toki),adverb(wawa),adverb(ala)),obj_d(((noun(jan),adjective(pali)),noun(ilo),adjective(moku))))))"
110,ilo sitelen pi toki sewi li wawa e ni.,"s(dec(subj_p(((noun(ilo),adjective(sitelen)),noun(toki),adjective(sewi))),pred_p(verb_t(wawa),obj_d(pronoun(ni)))))"
116,"jan, ala","headline(obj_i((noun(jan),card(numeral(ala)))))"
122,"jan, ale ale luka wan","headline(obj_i((noun(jan),card((numeral(ale),numeral(ale),numeral(luka),numeral(wan))))))"
124,"jan, ale ale mute mute luka tu wan","headline(obj_i((noun(jan),card((numeral(ale),numeral(ale),(numeral(mute),numeral(mute)),numeral(luka),numeral(tu),numeral(wan))))))"
127,"jan, ale luka tu","headline(obj_i((noun(jan),card((numeral(ale),numeral(luka),numeral(tu))))))"
128,"jan, ale mute","headline(obj_i((noun(jan),card((numeral(ale),numeral(mute))))))"
129,"jan, ale mute luka tu wan","headline(obj_i((noun(jan),card((numeral(ale),numeral(mute),numeral(luka),numeral(tu),numeral(wan))))))"
130,"jan, ale mute mute luka tu wan","headline(obj_i((noun(jan),card((numeral(ale),(numeral(mute),numeral(mute)),numeral(luka),numeral(tu),numeral(wan))))))"
131,"jan, ale tu tu","headline(obj_i((noun(jan),card((numeral(ale),numeral(tu),numeral(tu))))))"
135,jan ante li lukin e soweli li toki e ni.,"s(dec(subj_p((noun(jan),adjective(ante))),(pred_p(verb_t(lukin),obj_d(noun(soweli))),pred_p(pred_p(verb_t(toki),obj_d(pronoun(ni)))))))"
136,jan ante li toki pakala e ona.,"s(dec(subj_p((noun(jan),adjective(ante))),pred_p((verb_t(toki),adverb(pakala)),obj_d(pronoun(ona)))))"
138,jan Elopa,"headline(obj_i((noun(jan),unofficial_resident(known_continent(Elopa)))))"
143,jan God li toki e toki.,"s(dec(subj_p((noun(jan),unofficial_person_name(famous_person(God)))),pred_p(verb_t(toki),obj_d(noun(toki)))))"
145,jan ike Devil wawa li ike e ni.,"s(dec(subj_p((noun(jan),adjective(ike),unofficial_person_name(famous_person(Devil)),adjective(wawa))),pred_p(verb_t(ike),obj_d(pronoun(ni)))))"
146,jan ike Kin li pakala e tenpo pona Kolisu!,"s(exc(subj_p((noun(jan),adjective(ike),unofficial_person_name(unknown(Kin)))),pred_p(verb_t(pakala),obj_d((noun(tenpo),adjective(pona),unofficial_thing(unknown(Kolisu)))))))"
149,jan ike li moku e moku.,"s(dec(subj_p((noun(jan),adjective(ike))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
152,jan ike ni li jo e len nasa.,"s(dec(subj_p((noun(jan),adjective(ike),pronoun(ni))),pred_p(verb_t(jo),obj_d((noun(len),adjective(nasa))))))"
154,jan Isa li toki e ni.,"s(dec(subj_p((noun(jan),unofficial_person_name(unknown(Isa)))),pred_p(verb_t(toki),obj_d(pronoun(ni)))))"
156,jan Jon li pali e ni.,"s(dec(subj_p((noun(jan),unofficial_person_name(unknown(Jon)))),pred_p(verb_t(pali),obj_d(pronoun(ni)))))"
161,jan Kitopokolonpo,"headline(obj_i((noun(jan),unofficial_person_name(unknown(Kitopokolonpo)))))"
165,jan Kolonpo li jo e tomo tawa Ninja e tomo tawa Pinta e tomo tawa Santamalija.,"s(dec(subj_p((noun(jan),unofficial_person_name(unknown(Kolonpo)))),pred_p(verb_t(jo),(obj_d((noun(tomo),adjective(tawa),unofficial_thing(unknown(Ninja)))),obj_d((noun(tomo),adjective(tawa),unofficial_thing(unknown(Pinta)))),obj_d((noun(tomo),adjective(tawa),unofficial_thing(unknown(Santamalija))))))))"
173,jan Kulisa li pali e ni.,"s(dec(subj_p((noun(jan),unofficial_person_name(unknown(Kulisa)))),pred_p(verb_t(pali),obj_d(pronoun(ni)))))"
174,jan Lalalalalala li toki e toki.,"s(dec(subj_p((noun(jan),unofficial_person_name(unknown(Lalalalalala)))),pred_p(verb_t(toki),obj_d(noun(toki)))))"
175,jan Lapalapala,"headline(obj_i((noun(jan),unofficial_person_name(unknown(Lapalapala)))))"
179,jan lawa,"headline(obj_i((noun(jan),adjective(lawa))))"
180,jan lawa lete,"headline(obj_i((noun(jan),adjective(lawa),adjective(lete))))"
182,jan lawa lete li kama e lete suli wawa.,"s(dec(subj_p((noun(jan),adjective(lawa),adjective(lete))),pred_p(verb_t(kama),obj_d((noun(lete),adjective(suli),adjective(wawa))))))"
183,jan lawa lete li lete e nimi pi lon uta ona.,"s(dec(subj_p((noun(jan),adjective(lawa),adjective(lete))),pred_p(verb_t(lete),obj_d((noun(nimi),noun(lon),adjective(uta),pronoun(ona))))))"
188,jan lawa li moku e telo jaki.,"s(dec(subj_p((noun(jan),adjective(lawa))),pred_p(verb_t(moku),obj_d((noun(telo),adjective(jaki))))))"
189,jan lawa li wile sona e ni tan jan Isa.,"s(dec(subj_p((noun(jan),adjective(lawa))),pred_p((verb_p(wile),verb_t(sona)),obj_d(pronoun(ni)),obj_p(preposition(tan),(noun(jan),unofficial_person_name(unknown(Isa)))))))"
193,jan lawa Talana li toki e ni.,"s(dec(subj_p((noun(jan),adjective(lawa),unofficial_person_name(unknown(Talana)))),pred_p(verb_t(toki),obj_d(pronoun(ni)))))"
208,"jan, lili lili lili","headline(obj_i((noun(jan),card((adjective(lili),adjective(lili),adjective(lili))))))"
226,jan li lukin e ma.,"s(dec(subj_p(noun(jan)),pred_p(verb_t(lukin),obj_d(noun(ma)))))"
230,jan li moku e moku.,"s(dec(subj_p(noun(jan)),pred_p(verb_t(moku),obj_d(noun(moku)))))"
231,jan li moli e waso.,"s(dec(subj_p(noun(jan)),pred_p(verb_t(moli),obj_d(noun(waso)))))"
232,jan li pali e seme?,"s(int(what_d_object(subj_p(noun(jan)),pred_p(verb_t(pali),obj_d(pronoun_interrogative(seme))))))"
235,jan li pilin e olin.,"s(dec(subj_p(noun(jan)),pred_p(verb_t(pilin),obj_d(noun(olin)))))"
237,jan Lisa anu jan Lope li moku e moku?,"s(int(decision_subject(subj_p((noun(jan),unofficial_female_name(known_female_name(Lisa))),conj(anu),(noun(jan),unofficial_male_name(known_male_name(Lope)))),pred_p(verb_t(moku),obj_d(noun(moku))))))"
238,jan Lisa anu sina li moku e moku?,"s(int(decision_subject(subj_p((noun(jan),unofficial_female_name(known_female_name(Lisa))),conj(anu),pronoun(sina)),pred_p(verb_t(moku),obj_d(noun(moku))))))"
239,jan Lisa li moku e moku.,"s(dec(subj_p((noun(jan),unofficial_female_name(known_female_name(Lisa)))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
244,"jan Lisa o, toki.","s(dec(voc(voca_p((noun(jan),unofficial_female_name(known_female_name(Lisa)))),salu_p(noun(toki)))))"
248,jan li toki e ni.,"s(dec(subj_p(noun(jan)),pred_p(verb_t(toki),obj_d(pronoun(ni)))))"
253,jan li wile jo e ma.,"s(dec(subj_p(noun(jan)),pred_p((verb_p(wile),verb_t(jo)),obj_d(noun(ma)))))"
255,jan Lo,"headline(obj_i((noun(jan),unofficial_person_name(unknown(Lo)))))"
256,jan Lomonopo,"headline(obj_i((noun(jan),unofficial_person_name(unknown(Lomonopo)))))"
260,jan Lope li moku e moku pona.,"s(dec(subj_p((noun(jan),unofficial_male_name(known_male_name(Lope)))),pred_p(verb_t(moku),obj_d((noun(moku),adjective(pona))))))"
263,"jan Lope o, sina moku e moku a!","s(exc(voc(voca_p((noun(jan),unofficial_male_name(known_male_name(Lope)))),subj_p(pronoun(sina)),pred_p(verb_t(moku),obj_d(noun(moku))))),interjection(a))"
264,"jan Lope o, sina olin ala olin e mi?","s(int(voc(voca_p((noun(jan),unofficial_male_name(known_male_name(Lope)))),yes_no(subj_p(pronoun(sina)),pred_p(verb_t(olin),adverb(ala),verb_t(olin),obj_d(pronoun(mi)))))))"
265,"jan Lope o, toki a!","s(exc(voc(voca_p((noun(jan),unofficial_male_name(known_male_name(Lope)))),salu_p(noun(toki)))),interjection(a))"
266,jan Lope pi ma suli Elopa li ' lon ma Tosi.,"s(dec(subj_p(((noun(jan),unofficial_male_name(known_male_name(Lope))),noun(ma),adjective(suli),unofficial_continent(known_continent(Elopa)))),pred_p(verb_i(be),(noun(lon),adjective(ma),unofficial_thing(unknown(Tosi))))))"
267,jan Lope pi ma tomo Pelin pona li kama sona e toki pona li pali e ilo pi toki pona.,"s(dec(subj_p(((noun(jan),unofficial_male_name(known_male_name(Lope))),noun(ma),adjective(tomo),unofficial_city(known_city(Pelin)),adjective(pona))),(pred_p((verb_p(kama),verb_t(sona)),obj_d((noun(toki),adjective(pona)))),pred_p(pred_p(verb_t(pali),obj_d((noun(ilo),noun(toki),adjective(pona))))))))"
268,"jan, luka","headline(obj_i((noun(jan),card(numeral(luka)))))"
269,"jan, luka luka","headline(obj_i((noun(jan),card((numeral(luka),numeral(luka))))))"
271,"jan, luka luka wan","headline(obj_i((noun(jan),card((numeral(luka),numeral(luka),numeral(wan))))))"
272,"jan, luka tu","headline(obj_i((noun(jan),card((numeral(luka),numeral(tu))))))"
273,"jan, luka tu tu","headline(obj_i((noun(jan),card((numeral(luka),numeral(tu),numeral(tu))))))"
274,"jan, luka tu wan","headline(obj_i((noun(jan),card((numeral(luka),numeral(tu),numeral(wan))))))"
275,"jan, luka wan","headline(obj_i((noun(jan),card((numeral(luka),numeral(wan))))))"
276,jan Mali li pali e ni.,"s(dec(subj_p((noun(jan),unofficial_resident(known_country(Mali)))),pred_p(verb_t(pali),obj_d(pronoun(ni)))))"
277,jan ma ni li jan seme?,"s(int(what_is_object(subj_p((noun(jan),adjective(ma),pronoun(ni))),pred_p(verb_i(be),(noun(jan),pronoun_interrogative(seme))))))"
278,jan Mata li pali e kalama musi ni.,"s(dec(subj_p((noun(jan),unofficial_person_name(unknown(Mata)))),pred_p(verb_t(pali),obj_d((noun(kalama),adjective(musi),pronoun(ni))))))"
279,"jan Mawen o, sina wile ala wile moku?","s(int(voc(voca_p((noun(jan),unofficial_male_name(known_male_name(Mawen)))),yes_no(subj_p(pronoun(sina)),pred_p(verb_p(wile),adverb(ala),verb_p(wile),verb_t(moku))))))"
280,jan Mawija li moku e moku.,"s(dec(subj_p((noun(jan),unofficial_famous_woman(known_famous_woman(Mawija)))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
283,jan Mawijo li jo e meli olin.,"s(dec(subj_p((noun(jan),unofficial_person_name(unknown(Mawijo)))),pred_p(verb_t(jo),obj_d((noun(meli),adjective(olin))))))"
288,jan Mawi li jan pi wile sona.,"s(dec(subj_p((noun(jan),unofficial_person_name(unknown(Mawi)))),pred_p(verb_i(be),(noun(jan),noun(wile),adjective(sona)))))"
301,jan Mawi li toki e ni: mi jan Mawi pi jan Talana.,"s(dec(subj_p((noun(jan),unofficial_person_name(unknown(Mawi)))),pred_p(verb_t(toki),obj_d(pronoun(ni))),subj_p(pronoun(mi)),pred_p(verb_i(be),((noun(jan),unofficial_person_name(unknown(Mawi))),noun(jan),unofficial_person_name(unknown(Talana))))))"
306,jan Mesiko,"headline(obj_i((noun(jan),unofficial_resident(known_country(Mesiko)))))"
317,"jan, mute lili","headline(obj_i((noun(jan),card((adjective(mute),adjective(lili))))))"
323,"jan, mute mute luka tu wan","headline(obj_i((noun(jan),card((numeral(mute),numeral(mute),numeral(luka),numeral(tu),numeral(wan))))))"
324,"jan, mute mute mute","headline(obj_i((noun(jan),card((adjective(mute),adjective(mute),adjective(mute))))))"
326,"jan, mute mute mute li moku e moku.","s(dec(subj_p((noun(jan),card((adjective(mute),adjective(mute),adjective(mute))))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
327,"jan, mute tu wan","headline(obj_i((noun(jan),card((numeral(mute),numeral(tu),numeral(wan))))))"
328,"jan, nanpa ala","headline(obj_i((noun(jan),ord(adjective(nanpa),numeral(ala)))))"
329,"jan, nanpa ale mute luka tu wan","headline(obj_i((noun(jan),ord(adjective(nanpa),(numeral(ale),numeral(mute),numeral(luka),numeral(tu),numeral(wan))))))"
331,"jan, nanpa luka tu wan","headline(obj_i((noun(jan),ord(adjective(nanpa),(numeral(luka),numeral(tu),numeral(wan))))))"
332,"jan, nanpa mute mute mute li moku e moku.","s(dec(subj_p((noun(jan),ord(adjective(nanpa),(adjective(mute),adjective(mute),adjective(mute))))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
333,"jan nanpa, nanpa tu tu","headline(obj_i((noun(jan),adjective(nanpa),ord(adjective(nanpa),(numeral(tu),numeral(tu))))))"
334,"jan nanpa, tu li moku e moku.","s(dec(subj_p((noun(jan),adjective(nanpa),card(numeral(tu)))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
335,"jan, nanpa tu tu wan","headline(obj_i((noun(jan),ord(adjective(nanpa),(numeral(tu),numeral(tu),numeral(wan))))))"
336,"jan, nanpa tu wan li moku e moku.","s(dec(subj_p((noun(jan),ord(adjective(nanpa),(numeral(tu),numeral(wan))))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
340,jan Nikita li toki e toki.,"s(dec(subj_p((noun(jan),unofficial_male_name(known_male_name(Nikita)))),pred_p(verb_t(toki),obj_d(noun(toki)))))"
345,"jan ni li toki e ni, kepeken toki Inli.","s(dec(subj_p((noun(jan),pronoun(ni))),pred_p(verb_t(toki),obj_d(pronoun(ni)),obj_p(preposition(kepeken),(noun(toki),unofficial_language(known_language(Inli)))))))"
346,"jan ni li toki e ni, kepeken toki Inli pona.","s(dec(subj_p((noun(jan),pronoun(ni))),pred_p(verb_t(toki),obj_d(pronoun(ni)),obj_p(preposition(kepeken),(noun(toki),unofficial_language(known_language(Inli)),adjective(pona))))))"
347,"jan ni li toki e ni, kepeken toki luka Inli pona.","s(dec(subj_p((noun(jan),pronoun(ni))),pred_p(verb_t(toki),obj_d(pronoun(ni)),obj_p(preposition(kepeken),(noun(toki),adjective(luka),unofficial_sign_language(known_language(Inli)),adjective(pona))))))"
350,jan o pona e tomo!,"s(imp(com(subj_p(noun(jan)),pred_p(verb_t(pona),obj_d(noun(tomo))))))"
351,jan Osaka,"headline(obj_i((noun(jan),unofficial_resident(known_city(Osaka)))))"
352,jan Ote li pali e ni.,"s(dec(subj_p((noun(jan),unofficial_person_name(unknown(Ote)))),pred_p(verb_t(pali),obj_d(pronoun(ni)))))"
358,jan Pepe,"headline(obj_i((noun(jan),unofficial_male_name(known_male_name(Pepe)))))"
359,jan pi jan suli li moku e moku pona.,"s(dec(subj_p((noun(jan),noun(jan),adjective(suli))),pred_p(verb_t(moku),obj_d((noun(moku),adjective(pona))))))"
360,jan Pije li pali e ni.,"s(dec(subj_p((noun(jan),unofficial_person_name(unknown(Pije)))),pred_p(verb_t(pali),obj_d(pronoun(ni)))))"
361,"jan pi kulupu Neje, en jan pi ma suli Apika li pona e ilo nanpa.","s(dec(subj_p(((noun(jan),noun(kulupu),unofficial_community(known_community(Neje))),conj(en),noun(jan),noun(ma),adjective(suli),unofficial_continent(known_continent(Apika)))),pred_p(verb_t(pona),obj_d((noun(ilo),adjective(nanpa))))))"
362,jan pi kulupu Neje li pona e ilo.,"s(dec(subj_p((noun(jan),noun(kulupu),unofficial_community(known_community(Neje)))),pred_p(verb_t(pona),obj_d(noun(ilo)))))"
363,jan pi ma suli Elopa pona li moku e moku.,"s(dec(subj_p((noun(jan),noun(ma),adjective(suli),unofficial_continent(known_continent(Elopa)),adjective(pona))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
364,jan pi ma Sumi lete ni li moku e moku.,"s(dec(subj_p((noun(jan),noun(ma),unofficial_country(known_country(Sumi)),adjective(lete),pronoun(ni))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
365,jan pi ma Sumi li moku e moku.,"s(dec(subj_p((noun(jan),noun(ma),unofficial_country(known_country(Sumi)))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
368,jan pi ma tomo Pelin pona li moku e moku.,"s(dec(subj_p((noun(jan),noun(ma),adjective(tomo),unofficial_city(known_city(Pelin)),adjective(pona))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
369,jan pi nasin pona Patapali sewi li moku e moku.,"s(dec(subj_p((noun(jan),noun(nasin),adjective(pona),unofficial_ideology(known_ideology(Patapali)),adjective(sewi))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
370,jan pi nasin sewi Patapali li moku e moku.,"s(dec(subj_p((noun(jan),noun(nasin),adjective(sewi),unofficial_ideology(known_ideology(Patapali)))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
371,jan pi nasin sewi Patapali li musi e jan ni.,"s(dec(subj_p((noun(jan),noun(nasin),adjective(sewi),unofficial_ideology(known_ideology(Patapali)))),pred_p(verb_t(musi),obj_d((noun(jan),pronoun(ni))))))"
372,jan pi ona pona li moku e moku.,"s(dec(subj_p((noun(jan),pronoun(ona),adjective(pona))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
376,jan pona li moku e soweli.,"s(dec(subj_p((noun(jan),adjective(pona))),pred_p(verb_t(moku),obj_d(noun(soweli)))))"
377,jan pona Lisa ni li moku e moku.,"s(dec(subj_p((noun(jan),adjective(pona),unofficial_female_name(known_female_name(Lisa)),pronoun(ni))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
378,jan pona Mawija ni li moku e moku.,"s(dec(subj_p((noun(jan),adjective(pona),unofficial_famous_woman(known_famous_woman(Mawija)),pronoun(ni))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
379,jan pona Mesiko ni li toki e toki.,"s(dec(subj_p((noun(jan),adjective(pona),unofficial_resident(known_country(Mesiko)),pronoun(ni))),pred_p(verb_t(toki),obj_d(noun(toki)))))"
381,jan pona Nikita suli ni li toki e toki.,"s(dec(subj_p((noun(jan),adjective(pona),unofficial_male_name(known_male_name(Nikita)),adjective(suli),pronoun(ni))),pred_p(verb_t(toki),obj_d(noun(toki)))))"
382,jan pona pi jan suli li moku e moku.,"s(dec(subj_p(((noun(jan),adjective(pona)),noun(jan),adjective(suli))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
